Time    X    Y    Z
222.19  354.4720    519.6920    -2312.9150    
222.75  354.4720    519.6920    -2313.5200    
223.31  354.4720    519.6920    -2314.1250    
223.88  354.4720    519.6920    -2314.1250    
224.44  354.4720    519.6920    -2312.3100    
225.01  354.4720    519.6920    -2315.3349    
225.57  354.4720    519.6920    -2314.7299    
226.13  354.4720    519.6920    -2314.7299    
226.70  354.4720    519.6920    -2315.3349    
227.26  354.4720    519.6920    -2314.7299    
227.83  354.4720    519.6920    -2314.1250    
228.39  354.4720    519.6920    -2314.7299    
228.95  354.4720    519.6920    -2314.7299    
229.52  354.4720    519.6920    -2314.7299    
230.08  354.4720    519.6920    -2314.1250    
230.65  354.4720    519.6920    -2315.3349    
231.21  354.4720    519.6920    -2315.3349    
231.77  354.4720    519.6920    -2316.5451    
232.34  354.4720    519.6920    -2315.3349    
232.90  354.4720    519.6920    -2315.9401    
233.47  354.4720    519.6920    -2315.3349    
234.03  354.4720    519.6920    -2315.3349    
234.59  354.4720    519.6920    -2314.1250    
235.16  354.4720    519.6920    -2316.5451    
235.72  354.4720    519.6920    -2314.7299    
236.29  354.4720    519.6920    -2314.1250    
236.85  354.4720    519.6920    -2315.3349    
237.41  354.4720    519.6920    -2315.9401    
237.98  354.4720    519.6920    -2315.3349    
238.54  354.4720    519.6920    -2316.5451    
239.11  354.4720    519.6920    -2317.1501    
239.67  354.4720    519.6920    -2316.5451    
240.23  354.4720    519.6920    -2316.5451    
240.80  354.4720    519.6920    -2315.3349    
241.36  354.4720    519.6920    -2316.5451    
241.93  354.4720    519.6920    -2315.9401    
242.49  354.4720    519.6920    -2315.3349    
243.05  354.4720    519.6920    -2316.5451    
243.62  354.4720    519.6920    -2315.9401    
244.18  354.4720    519.6920    -2315.9401    
244.74  354.4720    519.6920    -2315.3349    
245.31  354.4720    519.6920    -2315.9401    
245.87  354.4720    519.6920    -2315.9401    
246.44  354.4720    519.6920    -2315.9401    
247.00  354.4720    519.6920    -2315.3349    
247.56  354.4720    519.6920    -2315.9401    
248.13  354.4720    519.6920    -2317.7551    
248.69  354.4720    519.6920    -2316.5451    
249.26  354.4720    519.6920    -2317.7551    
249.82  354.4720    519.6920    -2315.9401    
250.38  354.4720    519.6920    -2315.9401    
250.95  354.4720    519.6920    -2317.1501    
251.51  354.4720    519.6920    -2315.9401    
252.08  354.4720    519.6920    -2317.1501    
252.64  354.4720    519.6920    -2317.1501    
253.20  354.4720    519.6920    -2317.1501    
253.77  354.4720    519.6920    -2316.5451    
254.33  354.4720    519.6920    -2318.3601    
254.90  354.4720    519.6920    -2317.1501    
255.46  354.4720    519.6920    -2317.7551    
256.02  354.4720    519.6920    -2317.1501    
256.59  354.4720    519.6920    -2317.7551    
257.15  354.4720    519.6920    -2317.1501    
257.72  354.4720    519.6920    -2316.5451    
258.28  354.4720    519.6920    -2317.7551    
258.84  354.4720    519.6920    -2317.7551    
259.41  354.4720    519.6920    -2317.1501    
259.97  354.4720    519.6920    -2318.3601    
260.54  354.4720    519.6920    -2316.5451    
261.10  354.4720    519.6920    -2318.3601    
261.66  354.4720    519.6920    -2317.7551    
262.23  354.4720    519.6920    -2318.3601    
262.79  354.4720    519.6920    -2318.9650    
263.36  354.4720    519.6920    -2318.3601    
263.92  354.4720    519.6920    -2318.3601    
264.48  354.4720    519.6920    -2317.1501    
265.05  354.4720    519.6920    -2318.9650    
265.61  354.4720    519.6920    -2318.3601    
266.17  354.4720    519.6920    -2317.7551    
266.74  354.4720    519.6920    -2318.9650    
267.30  354.4720    519.6920    -2317.1501    
267.87  354.4720    519.6920    -2319.5700    
268.43  354.4720    519.6920    -2318.3601    
269.00  354.4720    519.6920    -2317.7551    
269.56  354.4720    522.6960    -2318.3601    
270.12  354.4720    519.6920    -2318.9650    
